2026-02-24 10:02:57.252 - [2026-02-24 10:02:57.252] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [49, 1]
2026-02-24 10:02:57.276 - [2026-02-24 10:02:57.276] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [48, 3]
2026-02-24 10:02:57.282 - [2026-02-24 10:02:57.282] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [47, 4]
2026-02-24 10:02:57.374 - [2026-02-24 10:02:57.374] AUDIT: ORDER CREATED - Method: createOrder, Arguments: [com.shopjoy.dto.request.CreateOrderRequest@4a67e44c]
2026-02-24 10:03:09.419 - [2026-02-24 10:03:09.419] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [49, 1]
2026-02-24 10:03:09.444 - [2026-02-24 10:03:09.444] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [48, 3]
2026-02-24 10:03:09.497 - [2026-02-24 10:03:09.497] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [47, 4]
2026-02-24 10:03:09.523 - [2026-02-24 10:03:09.523] AUDIT: ORDER UPDATED - Method: updateOrder, Arguments: [32, com.shopjoy.dto.request.UpdateOrderRequest@424e0c8c]
2026-02-24 10:03:10.071 - [2026-02-24 10:03:10.071] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [49, 1]
2026-02-24 10:03:10.084 - [2026-02-24 10:03:10.084] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [48, 3]
2026-02-24 10:03:10.101 - [2026-02-24 10:03:10.101] AUDIT: STOCK RESERVED - Method: reserveStock, Arguments: [47, 4]
2026-02-24 10:03:10.128 - [2026-02-24 10:03:10.128] AUDIT: ORDER UPDATED - Method: updateOrder, Arguments: [32, com.shopjoy.dto.request.UpdateOrderRequest@72ebbece]
2026-02-24 10:08:19.745 - [2026-02-24 10:08:19.745] AUDIT: ORDER UPDATED - Method: updateOrderStatus, Arguments: [32, CANCELLED]
2026-02-24 10:09:33.042 - [2026-02-24 10:09:33.042] AUDIT: ORDER UPDATED - Method: updateOrderStatus, Arguments: [31, SHIPPED]
2026-02-24 10:09:35.079 - [2026-02-24 10:09:35.079] AUDIT: ORDER UPDATED - Method: updateOrderStatus, Arguments: [31, DELIVERED]
